id,date,amount,currency,counterparty,reference
BNK-0001,2026-08-31,-2888.49,USD,Beacon Consulting,INV-4401
BNK-0002,2026-08-31,-1342.22,USD,Blue River Logistics,INV-4402
BNK-0003,2026-08-31,-3521.39,USD,Cedar Office Supply,INV-4403
BNK-0004,2026-08-31,-2526.70,USD,Northstar Software,INV-4404
BNK-0005,2026-08-31,-4400.19,USD,Summit Telecom,INV-4405
BNK-0006,2026-08-31,-538.32,USD,Vertex Cloud Services,INV-4406
BNK-0007,2026-08-31,-3601.94,USD,Acme Freight,INV-4407
BNK-0008,2026-08-31,-1136.82,USD,Beacon Consulting,INV-4408
BNK-0009,2026-08-31,-1478.28,USD,Blue River Logistics,INV-4409
BNK-0010,2026-08-31,-4517.24,USD,Cedar Office Supply,INV-4410
BNK-0011,2026-08-31,-644.08,USD,Northstar Software,INV-4411
BNK-0012,2026-08-31,-2774.01,USD,Summit Telecom,INV-4412
BNK-0013,2026-08-31,-214.27,USD,Vertex Cloud Services,INV-4413
BNK-0014,2026-08-31,-53.67,USD,Acme Freight,INV-4414
BNK-0015,2026-08-31,-4445.00,USD,Beacon Consulting,INV-4415
BNK-0016,2026-08-31,-1087.88,USD,Blue River Logistics,INV-4416
BNK-0017,2026-08-31,-3376.40,USD,Cedar Office Supply,INV-4417
BNK-0018,2026-08-31,-827.90,USD,Northstar Software,INV-4418
BNK-0019,2026-08-31,-4849.20,USD,Summit Telecom,INV-4419
BNK-0020,2026-08-31,-3151.80,USD,Vertex Cloud Services,INV-4420
BNK-0021,2026-08-31,-4146.84,USD,Acme Freight,INV-4421
BNK-0022,2026-08-31,-4564.80,USD,Beacon Consulting,INV-4422
BNK-0023,2026-08-31,-2845.89,USD,Blue River Logistics,INV-4423
BNK-0024,2026-08-31,-499.87,USD,Cedar Office Supply,INV-4424
BNK-0025,2026-08-31,-1954.74,USD,Northstar Software,INV-4425
BNK-0026,2026-08-31,-3072.08,USD,Summit Telecom,INV-4426
BNK-0027,2026-08-31,-3572.34,USD,Vertex Cloud Services,INV-4427
BNK-0028,2026-08-31,-3268.89,USD,Acme Freight,INV-4428
BNK-0029,2026-08-31,-627.08,USD,Beacon Consulting,INV-4429
BNK-0030,2026-08-31,-2892.30,USD,Blue River Logistics,INV-4430
BNK-0031,2026-08-31,-2782.29,USD,Cedar Office Supply,INV-4431
BNK-0032,2026-08-31,-259.74,USD,Northstar Software,INV-4432
BNK-0033,2026-08-31,-1921.13,USD,Summit Telecom,INV-4433
BNK-0034,2026-08-31,-3548.06,USD,Vertex Cloud Services,INV-4434
BNK-0035,2026-08-31,-910.25,USD,Acme Freight,INV-4435
BNK-0036,2026-08-31,-1009.60,USD,Beacon Consulting,INV-4436
BNK-0037,2026-08-31,-2732.22,USD,Blue River Logistics,INV-4437
BNK-0038,2026-08-31,-1344.14,USD,Cedar Office Supply,INV-4438
BNK-0039,2026-08-31,-2722.76,USD,Northstar Software,INV-4439
BNK-0040,2026-08-31,-2528.68,USD,Summit Telecom,INV-4440
BNK-0041,2026-08-31,-345.72,USD,Vertex Cloud Services,INV-4441
BNK-0042,2026-08-31,-1145.18,USD,Acme Freight,INV-4442
BNK-0043,2026-08-31,-4273.84,USD,Beacon Consulting,INV-4443
BNK-0044,2026-08-31,-3794.30,USD,Blue River Logistics,INV-4444
BNK-0045,2026-08-31,-4237.20,USD,Cedar Office Supply,INV-4445
BNK-0046,2026-08-31,-3646.04,USD,Northstar Software,INV-4446
BNK-0047,2026-08-31,-3603.08,USD,Summit Telecom,INV-4447
BNK-0048,2026-08-31,-1960.25,USD,Vertex Cloud Services,INV-4448
