id,date,amount,currency,counterparty,reference
GL-0001,2026-08-31,-2888.49,USD,Beacon Consulting,INV-4401
GL-0002,2026-08-31,-1342.22,USD,Blue River Logistics,INV-4402
GL-0003,2026-08-31,-3521.39,USD,Cedar Office Supply,INV-4403
GL-0004,2026-08-31,-2526.70,USD,Northstar Software,INV-4404
GL-0005,2026-08-31,-4400.19,USD,Summit Telecom,INV-4405
GL-0006,2026-08-31,-538.32,USD,Vertex Cloud Services,INV-4406
GL-0007,2026-08-31,-3601.94,USD,Acme Freight,INV-4407
GL-0008,2026-08-31,-1136.82,USD,Beacon Consulting,INV-4408
GL-0009,2026-08-31,-1478.28,USD,Blue River Logistics,INV-4409
GL-0010,2026-08-31,-4517.24,USD,Cedar Office Supply,INV-4410
GL-0011,2026-08-31,-644.08,USD,Northstar Software,INV-4411
GL-0012,2026-08-31,-2774.01,USD,Summit Telecom,INV-4412
GL-0013,2026-08-31,-214.27,USD,Vertex Cloud Services,INV-4413
GL-0014,2026-08-31,-53.67,USD,Acme Freight,INV-4414
GL-0015,2026-08-31,-4445.00,USD,Beacon Consulting,INV-4415
GL-0016,2026-08-31,-1087.88,USD,Blue River Logistics,INV-4416
GL-0017,2026-08-31,-3376.40,USD,Cedar Office Supply,INV-4417
GL-0018,2026-08-31,-827.90,USD,Northstar Software,INV-4418
GL-0019,2026-08-31,-4849.20,USD,Summit Telecom,INV-4419
GL-0020,2026-08-31,-3151.80,USD,Vertex Cloud Services,INV-4420
GL-0021,2026-08-31,-4146.84,USD,Acme Freight,INV-4421
GL-0022,2026-08-31,-4564.80,USD,Beacon Consulting,INV-4422
GL-0023,2026-08-31,-2845.89,USD,Blue River Logistics,INV-4423
GL-0024,2026-08-31,-499.87,USD,Cedar Office Supply,INV-4424
GL-0025,2026-08-31,-1954.74,USD,Northstar Software,INV-4425
GL-0026,2026-08-31,-3072.08,USD,Summit Telecom,INV-4426
GL-0027,2026-08-31,-3572.34,USD,Vertex Cloud Services,INV-4427
GL-0028,2026-08-31,-3268.89,USD,Acme Freight,INV-4428
GL-0029,2026-08-31,-627.08,USD,Beacon Consulting,INV-4429
GL-0030,2026-08-31,-2892.30,USD,Blue River Logistics,INV-4430
GL-0031,2026-08-31,-2782.29,USD,Cedar Office Supply,INV-4431
GL-0032,2026-08-31,-259.74,USD,Northstar Software,INV-4432
GL-0033,2026-08-31,-1921.13,USD,Summit Telecom,INV-4433
GL-0034,2026-08-31,-3548.06,USD,Vertex Cloud Services,INV-4434
GL-0035,2026-08-31,-910.25,USD,Acme Freight,INV-4435
GL-0036,2026-08-31,-1009.60,USD,Beacon Consulting,INV-4436
GL-0037,2026-08-31,-2732.22,USD,Blue River Logistics,INV-4437
GL-0038,2026-08-31,-1344.14,USD,Cedar Office Supply,INV-4438
GL-0039,2026-08-31,-2722.76,USD,Northstar Software,INV-4439
GL-0040,2026-08-31,-2528.68,USD,Summit Telecom,INV-4440
GL-0041,2026-08-31,-345.72,USD,Vertex Cloud Services,INV-4441
GL-0042,2026-08-31,-1145.18,USD,Acme Freight,INV-4442
GL-0043,2026-08-31,-4273.84,USD,Beacon Consulting,INV-4443
GL-0044,2026-08-31,-3794.30,USD,Blue River Logistics,INV-4444
GL-0045,2026-08-31,-4237.20,USD,Cedar Office Supply,INV-4445
GL-0046,2026-08-31,-3646.04,USD,Northstar Software,INV-4446
GL-0047,2026-08-31,-3603.08,USD,Summit Telecom,INV-4447
GL-0048,2026-08-31,-1960.25,USD,Vertex Cloud Services,INV-4448
GL-0049,2026-08-31,-202.45,USD,Acme Freight,INV-4449
GL-0050,2026-08-31,-486.55,USD,Beacon Consulting,INV-4450
GL-0051,2026-08-31,-3174.86,USD,Blue River Logistics,INV-4451
GL-0052,2026-08-31,-3456.11,USD,Cedar Office Supply,INV-4452
GL-0053,2026-08-31,-1023.34,USD,Northstar Software,INV-4453
GL-0054,2026-08-31,-4010.55,USD,Summit Telecom,INV-4454
GL-0055,2026-08-31,-4811.77,USD,Vertex Cloud Services,INV-4455
GL-0056,2026-08-31,-1391.88,USD,Acme Freight,INV-4456
GL-0057,2026-08-31,-808.66,USD,Beacon Consulting,INV-4457
GL-0058,2026-08-31,-4116.33,USD,Blue River Logistics,INV-4458
GL-0059,2026-08-31,-4890.08,USD,Cedar Office Supply,INV-4459
GL-0060,2026-08-31,-4124.23,USD,Northstar Software,INV-4460
GL-0061,2026-08-31,-4073.76,USD,Summit Telecom,INV-4461
GL-0062,2026-09-03,-1951.45,USD,Vertex Cloud Services,INV-4462
GL-0063,2026-09-04,-157.23,USD,Acme Freight,INV-4463
GL-0064,2026-09-05,-4061.39,USD,Beacon Consulting,INV-4464
GL-0065,2026-09-06,-2729.78,USD,Blue River Logistics,INV-4465
GL-0066,2026-08-31,-4726.66,USD,Cedar Office Supply,INV-4466
GL-0067,2026-08-31,-4726.66,USD,Cedar Office Supply,INV-4466
GL-0068,2026-08-31,-4723.03,USD,Northstar Software,INV-4467
GL-0069,2026-08-31,-4723.03,USD,Northstar Software,INV-4467
GL-0070,2026-08-31,-3872.28,USD,Summit Telecom,INV-4468
GL-0071,2026-08-31,-3872.28,USD,Summit Telecom,INV-4468
GL-0072,2026-08-31,-1434.64,USD,Blue River Logistics,INV-4472
GL-0073,2026-08-31,-1964.70,USD,Cedar Office Supply,INV-4473
GL-0074,2026-08-31,-922.85,USD,Northstar Software,INV-4474
GL-0075,2026-08-31,-2002.31,USD,Summit Telecom,INV-4475
GL-0076,2026-08-31,-2005.84,USD,ACM FRT,
GL-0077,2026-08-31,-4600.37,USD,NRTHSTR SFT,
GL-0078,2026-08-31,-4813.74,USD,BL RVR LGSTCS,
GL-0079,2026-08-31,-3128.31,USD,BCN CNSLTNG,
